text,priority,is_functional
แอปต้องดูรายการยาได้,2,1
แอปต้องเพิ่มยาได้,2,1
ต้องล็อกอินได้,2,1
ต้องดูเวลาทานยาได้,2,1
ต้องดูรายการหมอได้,2,1
ต้องดูแผนที่โรงพยาบาลได้,2,1
ล็อกอินแล้วข้อมูลไม่หาย,1,1
ล็อกอินแล้วค้างไว้ได้,1,1
ไม่ทำให้ผู้ใช้หงุดหงิด,1,0
คลิกรายการโรงพยาบาลแล้วไปที่แผนที่ทันที,1,1
รองรับกลุ่มผู้ใช้ที่ตาบอดสี,1,0
ถ้าเป็นฟอนต์ใหญ่ก็ดี,0,0
ไอคอนเอาไรก็ได้,1,0
ไม่เอารูปแมงมุมในแอปเด็ดขาด,1,0
ใส่รูปแมงมุมมาด่านะ,0,0
ใส่รูปแมงมุมมาลูกค้าไม่เอานะ,0,0
อยากได้สีฟ้า,0,0
อยากให้แอปมีรูปไดโนเสาร์ร้องเพลง แต่ถ้าไม่มีไม่เป็นไร,0,0
ลายก้อนเมฆก็สวยนะ,0,0
ใส่รูปหมาชิบะก็น่ารักนะ,0,0
อยากให้เป็นแอปที่ใช้ได้ทุกคน,1,0
ผู้ใช้ต้องไม่พบปัญหาโหลดนาน,2,0
เลื่อนขึ้นเลื่อนลงได้,1,1
ต้องดูชื่อพ่อของหมอได้,2,1
ต้องดูชื่อแม่ของหมอได้,2,1
โชว์รายชื่อหมอที่เก่งขึ้นก่อน,1,1
ปรับเวลาแจ้งเตือนได้,1,1
เปลี่ยนรูปโปรไฟล์ตัวเองได้,1,1
รูปเยอะ,0,0
ไอคอนดูง่ายสบายตา,1,0
สีสันต้องไม่ฉูดฉาดเดี๋ยวลูกค้าเลิกใช้,2,0
ไม่เอาแมว,1,0
ถ้าได้รูปพิซซ่าสีรุ้งก็ดี,0,0
อยากได้แบบว่าเวลาที่รวดเร็วในการทำงานบางอย่าง,1,0
อยากได้อะไรที่มันมีสีสันครับ,1,0
อ่านภาษาไทยไม่ได้เลยอยากได้ภาษาลาวด้วย,1,0
ปกติไม่ได้คิดรายได้อยู่แล้วเลยไม่อยากได้ระบบบัญชี,1,1
ตัวอักษรต้องใหญ่เพราะคนใช้งานมีสายตาไม่ดี,2,0
ถ้าใช้ในที่มีแสงสว่างต้องการสีที่เห็นได้ง่าย,1,0
ต้องมีจอแสดงสถานะที่คมชัด,2,0
ห้องโดยสารต้องรับน้ำหนักได้มากกว่า1ตัน,2,0
แผงควบคุมต้องแสดงสถานะชั้นที่อยู่ในปัจจุบัน,2,1
ลิฟท์ควรมีกระจกอย่างน้อย3ด้าน,1,0
ลิฟท์ควรเคลื่อนที่ได้เร็วกว่า10มัค,1,0
พื้นหลังโปรแกรมควรเป็นสีที่ตัดกับสีตัวอักษร,0,0
หน่วยประมวลผลต้องรับคำสั่งที่ป้อนเข้าทั้งหมด,2,0
ทุกชั้นต้องมีแผงควบคุมบริเวณหน้าลิฟท์,2,0
ตู้โดยสารจำเป็นต้องมีบับเปอร์,2,0
ไม่อยากให้โปรแกรมมีความซับซ้อนมากเกินไป,1,0
ระบบต้องรับมือกับความผิดพลาดที่เกิดจากผู้ใช้งานได้ทั้งหมด,1,0
ไม่แสดงข้อความทางเทคนิคที่ผู้ใช้งานไม่สามารถเข้าใจได้,1,1
โปรแกรมจะต้องทำงานโดยไม่มีข้อผิดพลาดจนทำให้โปรแกรมหยุดทำงาน,2,0
ต้องรับคำสั่งและตอบกลับได้10000คำสั่ง/วินาที,2,0
มีระบบแจ้งเตือนเมื่อถึงคิว,1,1
ควรมีการบอกจำนวนคิวก่อนหน้า,1,1
แสดงตารางคิวในแต่ละวัน,1,1
Func เตือน(คนใช้บริการ)​เมื่อใกล้วันจอง,1,1
อัพเดทข้อมูลแบบ real time,1,0
มีความเสถียร,1,0
มีระบบเลือกว่าในวันนั้นเราจะตัดผมทรงอะไร เพื่อความรวดเร็วของช่างตัดผมด้วย,1,1
ค้นหาร้านในระแวกใกล้เคียงได้ รีวิวร้านและเรตราคา,0,1
ควรมีการอัพเดทคิวร้าน,1,1
ควรมีการแจ้งจำนวนคิว และประมาณเวลาที่ต้องรอ,1,1
ทำให้มัน user friendly ด้วย,1,0
บอกพิกัดที่อยู่ พื้นที่ใกล้เคียง,1,1
บอกช่องทางการติดต่อของร้าน,1,1
อธิบาย ทรงผม,0,0
มีการยกเลิกการจองทันทีที่ต้องการ,1,1
อยากให้กำหนดวัตถุดิบในจานได้เอง เช่น เอาผัก ไม่เอาผัก หรือใส่หมูสับอย่างเดียว,1,1
อยากให้กำหนดเวลาที่สามารถเข้ารับบริการที่แน่นอน เพื่อที่จะได้กำหนดเวลาได้ชัดเจน,2,1
